date,close,high,low,open,status,volume
2021-05-14 17:50:00,127.6,127.6,127.59,127.59,ok,1551
2021-05-14 17:55:00,127.61,127.64,127.6,127.6,ok,4501
2021-05-14 18:10:00,127.6,127.62,127.6,127.6,ok,3705
2021-05-14 18:15:00,127.59,127.64,127.55,127.59,ok,6419
2021-05-14 18:30:00,127.6,127.62,127.59,127.61,ok,2355
2021-05-14 18:35:00,127.6,127.6,127.6,127.6,ok,342
2021-05-14 18:40:00,127.64,127.65,127.6,127.6,ok,4790
2021-05-14 18:50:00,127.64,127.65,127.62,127.62,ok,1269
2021-05-14 19:05:00,127.62,127.63,127.62,127.63,ok,585
2021-05-14 19:10:00,127.62,127.62,127.61,127.62,ok,1771
2021-05-14 19:20:00,127.61,127.62,127.6,127.62,ok,2874
2021-05-14 19:25:00,127.6,127.62,127.6,127.61,ok,11640
2021-05-14 19:30:00,127.63,127.63,127.62,127.62,ok,2101
2021-05-14 19:40:00,127.64,127.64,127.62,127.62,ok,6064
2021-05-14 19:45:00,127.64,127.65,127.63,127.63,ok,7987
2021-05-14 19:50:00,127.63,127.64,127.63,127.64,ok,2691
2021-05-14 19:55:00,127.79,127.8,127.63,127.64,ok,33205
2021-05-17 04:00:00,126.9,127.0,126.81,126.96,ok,3209
2021-05-17 04:05:00,126.93,126.93,126.86,126.86,ok,3663
2021-05-17 04:15:00,126.83,126.83,126.83,126.83,ok,692
2021-05-17 04:20:00,126.81,126.81,126.81,126.81,ok,333
2021-05-17 04:45:00,127.23,127.23,127.23,127.23,ok,382
2021-05-17 04:55:00,127.16,127.16,127.13,127.15,ok,1913
2021-05-17 05:05:00,127.06,127.14,127.05,127.1,ok,5480
2021-05-17 05:15:00,127.06,127.07,127.06,127.07,ok,1002
2021-05-17 05:20:00,127.02,127.06,127.02,127.06,ok,2310
2021-05-17 05:50:00,127.0,127.0,126.95,126.97,ok,2411
2021-05-17 06:00:00,126.94,126.95,126.93,126.93,ok,1293
2021-05-17 06:10:00,126.95,126.95,126.95,126.95,ok,951
2021-05-17 06:20:00,126.85,126.94,126.85,126.94,ok,1155
2021-05-17 06:55:00,126.75,126.8,126.75,126.77,ok,1656
2021-05-17 07:00:00,126.69,126.88,126.69,126.84,ok,19015
2021-05-17 07:05:00,126.79,126.8,126.67,126.73,ok,15415
2021-05-17 07:10:00,126.77,126.77,126.76,126.77,ok,8880
2021-05-17 07:15:00,126.88,126.9,126.76,126.76,ok,28624
2021-05-17 07:20:00,126.8,126.86,126.8,126.86,ok,16908
2021-05-17 07:25:00,126.82,126.85,126.7,126.8,ok,21093
2021-05-17 07:30:00,126.78,126.82,126.72,126.82,ok,30648
2021-05-17 07:35:00,126.811,126.84,126.77,126.78,ok,3402
2021-05-17 07:40:00,126.8,126.82,126.77,126.82,ok,20239
2021-05-17 07:45:00,126.68,126.79,126.67,126.79,ok,14516
2021-05-17 07:50:00,126.75,126.76,126.65,126.69,ok,14182
2021-05-17 07:55:00,126.73,126.75,126.69,126.721,ok,13975
2021-05-17 08:00:00,126.77,126.78,126.72,126.74,ok,98717
2021-05-17 08:05:00,126.81,126.82,126.74,126.75,ok,11714
2021-05-17 08:10:00,126.76,126.8,126.72,126.8,ok,11509
2021-05-17 08:15:00,126.77,126.8,126.71,126.75,ok,15118
2021-05-17 08:20:00,126.84,126.85,126.78,126.78,ok,17154
2021-05-17 08:25:00,126.75,126.82,126.72,126.82,ok,14951
2021-05-17 08:30:00,126.75,126.76,126.73,126.73,ok,8180
2021-05-17 08:35:00,126.93,126.93,126.75,126.77,ok,18064
2021-05-17 08:40:00,126.94,127.0,126.91,126.93,ok,28619
2021-05-17 08:45:00,126.92,126.97,126.9,126.94,ok,17386
2021-05-17 08:50:00,126.94,126.94,126.89,126.89,ok,6370
2021-05-17 08:55:00,126.91,126.95,126.9,126.94,ok,1298589
2021-05-17 09:00:00,126.86,126.929,126.75,126.89,ok,20695
2021-05-17 09:05:00,127.15,127.15,126.85,126.85,ok,44309
2021-05-17 09:10:00,127.2,127.25,126.999,127.17,ok,69645
2021-05-17 09:15:00,127.17,127.24,127.16,127.24,ok,35916
2021-05-17 09:20:00,127.1,127.19,127.03,127.17,ok,27081
2021-05-17 09:25:00,126.85,127.09,126.69,127.05,ok,69975
2021-05-17 09:30:00,126.18,126.92,126.01,126.82,ok,3572385
2021-05-17 09:35:00,126.19,126.57,126.06,126.18,ok,1688490
2021-05-17 09:40:00,126.27,126.5,126.051,126.18,ok,1697165
